"46(1,F6)","Normoxia Ox66 3","28","156","41","972"
"47(1,G6)","Normoxia Ox66 3","28","175","32","769"
"48(1,H6)","Normoxia Mix 1","28","149","51","1119"
"49(1,A7)","Normoxia Mix 1","28","162","57","1144"
"50(1,B7)","Normoxia Mix 1","24","191","70","1131"
"51(1,C7)","Normoxia Mix 2","28","199","47","1068"
"52(1,D7)","Normoxia Mix 2","28","235","51","1248"
"53(1,E7)","Normoxia Mix 2","28","216","43","1229"
"54(1,F7)","Normoxia Mix 3","28","191","57","1188"
"55(1,G7)","Normoxia Mix 3","28","176","41","1094"
"56(1,H7)","Normoxia Mix 3","28","208","36","1151"
"57(1,A8)","Hypoxia Blank 1","28","77","28","1317"
"58(1,B8)","Hypoxia Blank 1","28","177","57","852"
"59(1,C8)","Hypoxia Blank 1","28","143","41","1050"
"60(1,D8)","Hypoxia Blank 2","28","184","28","844"
"61(1,E8)","Hypoxia Blank 2","28","226","32","807"
"62(1,F8)","Hypoxia Blank 2","32","168","32","704"
"63(1,G8)","Hypoxia Blank 3","28","143","133","581"
"64(1,H8)","Hypoxia Blank 3","32","209","57","701"
"65(1,A9)","Hypoxia Blank 3","28","112","57","1273"
"66(1,B9)","Hypoxia DEP 1","28","255","32","1030"
"67(1,C9)","Hypoxia DEP 1","28","143","63","1099"
"68(1,D9)","Hypoxia DEP 1","28","234","38","844"
"69(1,E9)","Hypoxia DEP 2","28","169","68","675"
"70(1,F9)","Hypoxia DEP 2","28","227","28","642"
"71(1,G9)","Hypoxia DEP 2","28","415","32","712"
"72(1,H9)","Hypoxia DEP 3","28","243","77","725"
"73(1,A10)","Hypoxia DEP 3","28","224","38","915"
"74(1,B10)","Hypoxia DEP 3","28","192","28","967"
"75(1,C10)","Hypoxia Ox66 1","28","183","66","1198"
"76(1,D10)","Hypoxia Ox66 1","28","176","45","1089"
"77(1,E10)","Hypoxia Ox66 1","28","155","62","1027"
"78(1,F10)","Hypoxia Ox66 2","28","116","71","971"
"79(1,G10)","Hypoxia Ox66 2","28","156","53","916"
"80(1,H10)","Hypoxia Ox66 2","28","126","43","1192"
"81(1,A11)","Hypoxia Ox66 3","28","149","77","1205"
"82(1,B11)","Hypoxia Ox66 3","28","168","47","1156"
"83(1,C11)","Hypoxia Ox66 3","28","132","32","1035"
"84(1,D11)","Hypoxia Mix 1","28","183","77","1174"
"85(1,E11)","Hypoxia Mix 1","28","225","57","1204"
"86(1,F11)","Hypoxia Mix 1","28","207","41","1170"
"87(1,G11)","Hypoxia Mix 2","28","235","57","981"
"88(1,H11)","Hypoxia Mix 2","28","191","36","1112"
"89(1,A12)","Hypoxia Mix 2","28","243","47","1118"
"90(1,B12)","Hypoxia Mix 3","32","207","57","1274"
"91(1,C12)","Hypoxia Mix 3","28","199","32","1131"
"92(1,D12)","Hypoxia Mix 3","28","155","45","1362"
"93(1,E12)","Intereference DEP ","28","176","28","1138"
"94(1,F12)","Intereference DEP ","28","184","28","1197"
"95(1,G12)","Interference Ox66","23","132","22","1330"
"96(1,H12)","Interference Ox66","28","162","21","1286"

"DataType:","Std Dev"
"Location","Sample","IL-6","GRO/KC/CINC-1","TNFa","Total Events"
"1(1,A1)","Background0","24.43","188.36","85.08","1228"
"2(1,B1)","Background0","22.27","201.26","53.23","1252"
"3(1,C1)","Standard1","47.52","1124.71","203.05","1072"
"4(1,D1)","Standard1","33.06","275.03","152.45","1170"
"5(1,E1)","Standard2","53.65","316.76","365.09","1081"
"6(1,F1)","Standard2","27.75","142.75","284.14","1154"
"7(1,G1)","Standard3","132.71","798.92","1598.16","882"
"8(1,H1)","Standard3","32.44","167.71","398.05","1088"
"9(1,A2)","Standard4","119.07","567.82","2234.65","1256"
"10(1,B2)","Standard4","78.81","793.31","1538.96","1058"
"11(1,C2)","Standard5","485.62","3851.73","4814.32","1016"
"12(1,D2)","Standard5","829.76","3390.01","5305.96","989"
"13(1,E2)","Standard6","3887.94","3389.03","6278.71","939"
"14(1,F2)","Standard6","1812.95","3077.64","3617.36","1009"
"15(1,G2)","Standard7","4005.96","2704.85","3541.5","1013"
"16(1,H2)","Standard7","5780.43","7370.28","3598.33","1057"
"17(1,A3)","Control1","1124.97","637.42","2004.81","1211"
"18(1,B3)","Control1","108.4","296.61","1547.11","963"
"19(1,C3)","Control2","509.97","1392.43","3145.32","924"
"20(1,D3)","Control2","595.38","1360.36","3231.23","988"
"21(1,E3)","Normoxia Blank 1","129.79","9230.11","1389.11","809"
"22(1,F3)","Normoxia Blank 1","153.84","373.94","1991.28","862"
"23(1,G3)","Normoxia Blank 1","426.14","959.53","1233.43","909"
"24(1,H3)","Normoxia Blank 2","34.33","285.97","76.09","812"
"25(1,A4)","Normoxia Blank 2","22.89","480.05","60.87","960"
"26(1,B4)","Normoxia Blank 2","9444.73","512.05","89.22","932"
"27(1,C4)","Normoxia Blank 3","49.71","320.5","84.28","831"
"28(1,D4)","Normoxia Blank 3","18.17","548.21","300.52","677"
"29(1,E4)","Normoxia Blank 3","30.53","323.83","110.57","807"
"30(1,F4)","Normoxia DEP 1","20.86","408.27","102.44","863"
"31(1,G4)","Normoxia DEP 1","42.26","903.4","417.6","812"
"32(1,H4)","Normoxia DEP 1","30.46","353.24","1723.27","849"
"33(1,A5)","Normoxia DEP 2","20.93","8337.57","2172.38","960"
"34(1,B5)","Normoxia DEP 2","152.24","395.36","253.21","988"
"35(1,C5)","Normoxia DEP 2","62.78","1178.16","7072.18","887"
"36(1,D5)","Normoxia DEP 3","35.48","657.95","74.7","850"
"37(1,E5)","Normoxia DEP 3","56.76","723.37","657.66","655"
"38(1,F5)","Normoxia DEP 3","22.88","300.8","66.97","757"
"39(1,G5)","Normoxia Ox66 1","9","119.29","49.86","1144"
"40(1,H5)","Normoxia Ox66 1","24.42","93.03","53.47","974"
"41(1,A6)","Normoxia Ox66 1","14.11","245.97","53.26","1256"
"42(1,B6)","Normoxia Ox66 2","14.19","87.79","193.06","1137"
"43(1,C6)","Normoxia Ox66 2","64.94","268.39","120.64","958"
"44(1,D6)","Normoxia Ox66 2","23.3","76.72","132.28","1157"
"45(1,E6)","Normoxia Ox66 3","38.35","271.54","128.6","867"
"46(1,F6)","Normoxia Ox66 3","43.08","138.25","68.98","972"
"47(1,G6)","Normoxia Ox66 3","55.17","687.44","109.92","769"
"48(1,H6)","Normoxia Mix 1","113.67","1020.97","294.93","1119"
"49(1,A7)","Normoxia Mix 1","18.27","210.66","65.92","1144"
"50(1,B7)","Normoxia Mix 1","23.03","1110.36","80.09","1131"
"51(1,C7)","Normoxia Mix 2","71.08","1148.67","104.97","1068"
"52(1,D7)","Normoxia Mix 2","18.02","198.05","249.63","1248"
"53(1,E7)","Normoxia Mix 2","13.24","676.13","131.89","1229"
"54(1,F7)","Normoxia Mix 3","13.87","70.24","130.24","1188"
"55(1,G7)","Normoxia Mix 3","8.78","147.25","48.81","1094"
"56(1,H7)","Normoxia Mix 3","13.57","285.27","45.17","1151"
"57(1,A8)","Hypoxia Blank 1","38.66","260.25","160.77","1317"
"58(1,B8)","Hypoxia Blank 1","57.69","216.14","183.18","852"
"59(1,C8)","Hypoxia Blank 1","128.9","246.35","94.02","1050"
"60(1,D8)","Hypoxia Blank 2","49.11","264.49","43.69","844"
"61(1,E8)","Hypoxia Blank 2","20.08","394.67","546.54","807"
"62(1,F8)","Hypoxia Blank 2","15.88","397.24","73.83","704"
"63(1,G8)","Hypoxia Blank 3","25.62","460.39","131.27","581"
"64(1,H8)","Hypoxia Blank 3","1585.99","189.11","119.66","701"
"65(1,A9)","Hypoxia Blank 3","37.23","444.19","114.46","1273"
"66(1,B9)","Hypoxia DEP 1","16.73","1434.77","32.74","1030"
"67(1,C9)","Hypoxia DEP 1","14.96","483.6","80.98","1099"
"68(1,D9)","Hypoxia DEP 1","17.37","1572.78","96.01","844"
"69(1,E9)","Hypoxia DEP 2","24.44","285.46","57.92","675"
"70(1,F9)","Hypoxia DEP 2","53.66","212.67","218.87","642"
"71(1,G9)","Hypoxia DEP 2","13.04","375.41","50.54","712"
"72(1,H9)","Hypoxia DEP 3","116.58","332.45","97.47","725"
"73(1,A10)","Hypoxia DEP 3","39.33","810.63","2785.12","915"
"74(1,B10)","Hypoxia DEP 3","14.68","305.27","46.43","967"
"75(1,C10)","Hypoxia Ox66 1","27.06","80.29","46.72","1198"
"76(1,D10)","Hypoxia Ox66 1","10.07","84.25","61.64","1089"
"77(1,E10)","Hypoxia Ox66 1","26.16","106.91","119.6","1027"
"78(1,F10)","Hypoxia Ox66 2","8.93","87.23","65.01","971"
"79(1,G10)","Hypoxia Ox66 2","20.28","989.22","63.85","916"
"80(1,H10)","Hypoxia Ox66 2","11.78","85.34","39.18","1192"
"81(1,A11)","Hypoxia Ox66 3","10","85.57","52.41","1205"
"82(1,B11)","Hypoxia Ox66 3","9.25","100.85","236.66","1156"
"83(1,C11)","Hypoxia Ox66 3","79.11","596.84","1331.5","1035"
"84(1,D11)","Hypoxia Mix 1","15.07","442.85","62.2","1174"
"85(1,E11)","Hypoxia Mix 1","13.44","588.47","48.54","1204"
"86(1,F11)","Hypoxia Mix 1","31.6","76.1","47.4","1170"
"87(1,G11)","Hypoxia Mix 2","19.99","327.21","43.38","981"
"88(1,H11)","Hypoxia Mix 2","12.37","263.78","49.86","1112"
"89(1,A12)","Hypoxia Mix 2","16","348.94","112.71","1118"
"90(1,B12)","Hypoxia Mix 3","14.82","111.33","52.06","1274"
"91(1,C12)","Hypoxia Mix 3","9.26","129.03","37.83","1131"
"92(1,D12)","Hypoxia Mix 3","200.7","199.79","36","1362"
"93(1,E12)","Intereference DEP ","32.43","460.53","115.14","1138"
"94(1,F12)","Intereference DEP ","16.79","867.84","74.57","1197"
"95(1,G12)","Interference Ox66","13.55","54.66","70.97","1330"
"96(1,H12)","Interference Ox66","15.34","59.78","26.62","1286"

"DataType:","Trimmed Count"
"Location","Sample","IL-6","GRO/KC/CINC-1","TNFa","Total Events"
"1(1,A1)","Background0","386","328","390","1228"
"2(1,B1)","Background0","422","330","376","1252"
"3(1,C1)","Standard1","336","278","350","1072"
"4(1,D1)","Standard1","354","327","371","1170"
"5(1,E1)","Standard2","350","271","352","1081"
"6(1,F1)","Standard2","371","286","381","1154"
"7(1,G1)","Standard3","291","225","278","882"
"8(1,H1)","Standard3","365","277","338","1088"
"9(1,A2)","Standard4","407","331","392","1256"
"10(1,B2)","Standard4","354","268","330","1058"
"11(1,C2)","Standard5","341","245","328","1016"
"12(1,D2)","Standard5","325","249","315","989"
"13(1,E2)","Standard6","297","216","332","939"
"14(1,F2)","Standard6","333","251","325","1009"
"15(1,G2)","Standard7","354","247","310","1013"
"16(1,H2)","Standard7","329","272","350","1057"
"17(1,A3)","Control1","380","317","392","1211"
"18(1,B3)","Control1","338","204","325","963"
"19(1,C3)","Control2","294","227","311","924"
"20(1,D3)","Control2","305","271","314","988"
"21(1,E3)","Normoxia Blank 1","246","228","253","809"
"22(1,F3)","Normoxia Blank 1","252","221","303","862"
"23(1,G3)","Normoxia Blank 1","282","249","286","909"
"24(1,H3)","Normoxia Blank 2","278","212","242","812"
"25(1,A4)","Normoxia Blank 2","297","252","315","960"
"26(1,B4)","Normoxia Blank 2","263","259","316","932"
"27(1,C4)","Normoxia Blank 3","275","226","246","831"
"28(1,D4)","Normoxia Blank 3","236","171","204","677"
"29(1,E4)","Normoxia Blank 3","293","200","234","807"
"30(1,F4)","Normoxia DEP 1","278","226","271","863"
"31(1,G4)","Normoxia DEP 1","264","218","248","812"
"32(1,H4)","Normoxia DEP 1","284","202","279","849"
"33(1,A5)","Normoxia DEP 2","307","250","307","960"
"34(1,B5)","Normoxia DEP 2","328","268","294","988"
"35(1,C5)","Normoxia DEP 2","300","256","243","887"
"36(1,D5)","Normoxia DEP 3","279","234","253","850"
"37(1,E5)","Normoxia DEP 3","226","172","189","655"
"38(1,F5)","Normoxia DEP 3","234","215","232","757"
"39(1,G5)","Normoxia Ox66 1","350","322","358","1144"
"40(1,H5)","Normoxia Ox66 1","330","261","285","974"
"41(1,A6)","Normoxia Ox66 1","386","336","406","1256"
"42(1,B6)","Normoxia Ox66 2","368","307","348","1137"
"43(1,C6)","Normoxia Ox66 2","315","259","288","958"
"44(1,D6)","Normoxia Ox66 2","359","327","355","1157"
"45(1,E6)","Normoxia Ox66 3","307","211","261","867"
"46(1,F6)","Normoxia Ox66 3","316","248","310","972"
"47(1,G6)","Normoxia Ox66 3","267","193","231","769"
"48(1,H6)","Normoxia Mix 1","386","297","326","1119"
"49(1,A7)","Normoxia Mix 1","336","297","395","1144"
"50(1,B7)","Normoxia Mix 1","339","325","353","1131"
"51(1,C7)","Normoxia Mix 2","325","277","360","1068"
"52(1,D7)","Normoxia Mix 2","371","342","409","1248"
"53(1,E7)","Normoxia Mix 2","367","340","400","1229"
"54(1,F7)","Normoxia Mix 3","351","315","404","1188"
"55(1,G7)","Normoxia Mix 3","364","297","325","1094"
"56(1,H7)","Normoxia Mix 3","364","314","359","1151"
"57(1,A8)","Hypoxia Blank 1","422","353","408","1317"
"58(1,B8)","Hypoxia Blank 1","292","206","270","852"
"59(1,C8)","Hypoxia Blank 1","347","253","346","1050"
"60(1,D8)","Hypoxia Blank 2","260","249","249","844"
"61(1,E8)","Hypoxia Blank 2","267","221","239","807"
"62(1,F8)","Hypoxia Blank 2","219","183","232","704"
"63(1,G8)","Hypoxia Blank 3","223","138","162","581"
"64(1,H8)","Hypoxia Blank 3","233","182","216","701"
"65(1,A9)","Hypoxia Blank 3","395","327","423","1273"
"66(1,B9)","Hypoxia DEP 1","358","264","304","1030"
"67(1,C9)","Hypoxia DEP 1","354","302","333","1099"
"68(1,D9)","Hypoxia DEP 1","278","216","264","844"
"69(1,E9)","Hypoxia DEP 2","251","171","187","675"
"70(1,F9)","Hypoxia DEP 2","225","162","189","642"
"71(1,G9)","Hypoxia DEP 2","245","188","207","712"
"72(1,H9)","Hypoxia DEP 3","240","182","231","725"
"73(1,A10)","Hypoxia DEP 3","304","222","297","915"
"74(1,B10)","Hypoxia DEP 3","344","238","289","967"
"75(1,C10)","Hypoxia Ox66 1","389","302","387","1198"
"76(1,D10)","Hypoxia Ox66 1","339","279","361","1089"
"77(1,E10)","Hypoxia Ox66 1","313","279","333","1027"
"78(1,F10)","Hypoxia Ox66 2","297","271","307","971"
"79(1,G10)","Hypoxia Ox66 2","296","222","308","916"
"80(1,H10)","Hypoxia Ox66 2","399","314","359","1192"
"81(1,A11)","Hypoxia Ox66 3","387","325","373","1205"
"82(1,B11)","Hypoxia Ox66 3","368","314","360","1156"
"83(1,C11)","Hypoxia Ox66 3","338","288","305","1035"
"84(1,D11)","Hypoxia Mix 1","390","284","382","1174"
"85(1,E11)","Hypoxia Mix 1","391","317","374","1204"
"86(1,F11)","Hypoxia Mix 1","350","305","397","1170"
"87(1,G11)","Hypoxia Mix 2","294","265","324","981"
"88(1,H11)","Hypoxia Mix 2","362","317","321","1112"
"89(1,A12)","Hypoxia Mix 2","367","293","348","1118"
"90(1,B12)","Hypoxia Mix 3","382","337","427","1274"
"91(1,C12)","Hypoxia Mix 3","346","297","374","1131"
"92(1,D12)","Hypoxia Mix 3","444","360","422","1362"
"93(1,E12)","Intereference DEP ","381","269","374","1138"
"94(1,F12)","Intereference DEP ","382","299","396","1197"
"95(1,G12)","Interference Ox66","414","374","408","1330"
"96(1,H12)","Interference Ox66","403","349","406","1286"

"DataType:","Trimmed Mean"
"Location","Sample","IL-6","GRO/KC/CINC-1","TNFa","Total Events"
"1(1,A1)","Background0","32.68","192.54","34.83","1228"
"2(1,B1)","Background0","37.25","259.08","45.93","1252"
"3(1,C1)","Standard1","39.96","225.73","111.59","1072"
"4(1,D1)","Standard1","42.32","236.94","123.56","1170"
"5(1,E1)","Standard2","51.99","311.81","275.69","1081"
"6(1,F1)","Standard2","43.71","180.89","253.3","1154"
"7(1,G1)","Standard3","135.38","485.93","1398.13","882"
"8(1,H1)","Standard3","73.48","257.65","601.71","1088"
"9(1,A2)","Standard4","213.76","781.31","3296.78","1256"
"10(1,B2)","Standard4","167","611.48","2497.24","1058"
"11(1,C2)","Standard5","971.6","2268.38","7113.82","1016"
"12(1,D2)","Standard5","1176.98","2658.59","8436.2","989"
"13(1,E2)","Standard6","5114.92","6217.08","13739.59","939"
"14(1,F2)","Standard6","3895.35","4565.31","11296.48","1009"
"15(1,G2)","Standard7","12654.83","7505.55","11412.71","1013"
"16(1,H2)","Standard7","12544.27","7095.63","10028.73","1057"
"17(1,A3)","Control1","214.67","686.53","2820.89","1211"
"18(1,B3)","Control1","225.04","633.04","2497.82","963"
"19(1,C3)","Control2","1031.37","2214.27","7913.76","924"
"20(1,D3)","Control2","1269.97","2483.58","7963.46","988"
"21(1,E3)","Normoxia Blank 1","39.27","260.2","72.55","809"
"22(1,F3)","Normoxia Blank 1","40.32","264.41","54.34","862"
"23(1,G3)","Normoxia Blank 1","38.26","281.4","54.56","909"
"24(1,H3)","Normoxia Blank 2","37.47","238.78","46.88","812"
"25(1,A4)","Normoxia Blank 2","34.76","195.22","46.87","960"
"26(1,B4)","Normoxia Blank 2","45.43","388.32","78.33","932"
"27(1,C4)","Normoxia Blank 3","40.36","249.7","43.31","831"
"28(1,D4)","Normoxia Blank 3","32.1","245.13","245.27","677"
"29(1,E4)","Normoxia Blank 3","32.41","230.31","59.79","807"
"30(1,F4)","Normoxia DEP 1","33.57","315.88","50.17","863"
"31(1,G4)","Normoxia DEP 1","44.75","381.04","66.13","812"
"32(1,H4)","Normoxia DEP 1","32.61","246.47","44.88","849"
"33(1,A5)","Normoxia DEP 2","32.08","256.01","60.57","960"
"34(1,B5)","Normoxia DEP 2","41.89","245.12","69.95","988"
"35(1,C5)","Normoxia DEP 2","44.98","309.78","71.87","887"
"36(1,D5)","Normoxia DEP 3","37.43","422.42","69.2","850"
"37(1,E5)","Normoxia DEP 3","37.63","359.29","146.8","655"
"38(1,F5)","Normoxia DEP 3","37.27","382.08","65.67","757"
"39(1,G5)","Normoxia Ox66 1","28.12","187.18","55.05","1144"
"40(1,H5)","Normoxia Ox66 1","32.1","188.38","56.78","974"
"41(1,A6)","Normoxia Ox66 1","30.33","209.95","61.16","1256"
"42(1,B6)","Normoxia Ox66 2","31.56","161.31","152.91","1137"
"43(1,C6)","Normoxia Ox66 2","38.19","231.93","66.07","958"
"44(1,D6)","Normoxia Ox66 2","29.53","161.54","60.43","1157"
"45(1,E6)","Normoxia Ox66 3","36.71","308.65","72.99","867"
"46(1,F6)","Normoxia Ox66 3","30.4","190.23","57.16","972"
"47(1,G6)","Normoxia Ox66 3","34.92","270.39","68.55","769"
"48(1,H6)","Normoxia Mix 1","36.21","282.89","86.61","1119"
"49(1,A7)","Normoxia Mix 1","31.45","197.3","69.3","1144"
"50(1,B7)","Normoxia Mix 1","37.78","264.15","81.54","1131"
"51(1,C7)","Normoxia Mix 2","39.3","233.11","57.41","1068"
"52(1,D7)","Normoxia Mix 2","29.8","203.49","56.01","1248"
"53(1,E7)","Normoxia Mix 2","32.05","229.18","64.61","1229"
"54(1,F7)","Normoxia Mix 3","28.36","201.71","65.2","1188"
"55(1,G7)","Normoxia Mix 3","28.45","197.15","60.12","1094"
"56(1,H7)","Normoxia Mix 3","29.87","206.85","51.65","1151"
"57(1,A8)","Hypoxia Blank 1","37.01","167.55","58.43","1317"
"58(1,B8)","Hypoxia Blank 1","35.36","210.78","70.42","852"
"59(1,C8)","Hypoxia Blank 1","33.31","188.2","57.63","1050"
"60(1,D8)","Hypoxia Blank 2","34.21","171.88","46.84","844"
"61(1,E8)","Hypoxia Blank 2","35.27","266.97","58.9","807"
"62(1,F8)","Hypoxia Blank 2","31.87","213.25","49.92","704"
"63(1,G8)","Hypoxia Blank 3","41.22","270.09","172.3","581"
"64(1,H8)","Hypoxia Blank 3","34.59","274.75","75.94","701"
"65(1,A9)","Hypoxia Blank 3","36.93","186.9","62","1273"
"66(1,B9)","Hypoxia DEP 1","29.77","220.83","39.87","1030"
"67(1,C9)","Hypoxia DEP 1","31.79","203.52","68.79","1099"
"68(1,D9)","Hypoxia DEP 1","33.21","282.73","51.76","844"
"69(1,E9)","Hypoxia DEP 2","33.82","285.7","85.94","675"
"70(1,F9)","Hypoxia DEP 2","35.15","235.72","60.33","642"
"71(1,G9)","Hypoxia DEP 2","32.11","332.36","49.95","712"
"72(1,H9)","Hypoxia DEP 3","34.78","291.78","100.48","725"
"73(1,A10)","Hypoxia DEP 3","31.24","275.54","56","915"
"74(1,B10)","Hypoxia DEP 3","32.41","221.61","52.21","967"
"75(1,C10)","Hypoxia Ox66 1","31.11","202.08","60.41","1198"
"76(1,D10)","Hypoxia Ox66 1","29.33","184.62","59.4","1089"
"77(1,E10)","Hypoxia Ox66 1","29.58","167.78","71.65","1027"
"78(1,F10)","Hypoxia Ox66 2","25.84","149.17","73.58","971"
"79(1,G10)","Hypoxia Ox66 2","29.72","182.6","61.32","916"
"80(1,H10)","Hypoxia Ox66 2","28.2","145.18","64.62","1192"
"81(1,A11)","Hypoxia Ox66 3","28.69","165.96","92.17","1205"
"82(1,B11)","Hypoxia Ox66 3","30.21","190.16","62.89","1156"
"83(1,C11)","Hypoxia Ox66 3","34.29","215.26","59.64","1035"
"84(1,D11)","Hypoxia Mix 1","30.72","220.92","74.75","1174"
"85(1,E11)","Hypoxia Mix 1","30.27","215.93","60.75","1204"
"86(1,F11)","Hypoxia Mix 1","28.79","205.38","61.29","1170"
"87(1,G11)","Hypoxia Mix 2","31.69","242.14","57.66","981"
"88(1,H11)","Hypoxia Mix 2","28.68","178.15","49.17","1112"
"89(1,A12)","Hypoxia Mix 2","31.36","220.68","61.22","1118"
"90(1,B12)","Hypoxia Mix 3","35.79","254.95","59.74","1274"
"91(1,C12)","Hypoxia Mix 3","28.32","192.41","52.26","1131"
"92(1,D12)","Hypoxia Mix 3","27.76","154.37","57.87","1362"
"93(1,E12)","Intereference DEP ","37.78","204.93","50.32","1138"
"94(1,F12)","Intereference DEP ","31.79","182.26","35.95","1197"
"95(1,G12)","Interference Ox66","27.71","139.55","29.36","1330"
"96(1,H12)","Interference Ox66","26.48","132.82","25.96","1286"

"DataType:","Trimmed % CV of Microspheres"
"Location","Sample","IL-6","GRO/KC/CINC-1","TNFa","Total Events"
"1(1,A1)","Background0","38.93","45.99","47.1","1228"
"2(1,B1)","Background0","36.67","53.71","59.13","1252"
"3(1,C1)","Standard1","35.81","44.94","51.91","1072"
"4(1,D1)","Standard1","38.97","49.64","47.76","1170"
"5(1,E1)","Standard2","52.84","60.29","66.25","1081"
"6(1,F1)","Standard2","35.99","44.38","46.71","1154"
"7(1,G1)","Standard3","57.2","64.65","65.41","882"
"8(1,H1)","Standard3","27.35","34.77","44.17","1088"
"9(1,A2)","Standard4","41.11","46.88","53.8","1256"
"10(1,B2)","Standard4","27.05","37.76","38.88","1058"
"11(1,C2)","Standard5","37.72","45.35","35.97","1016"
"12(1,D2)","Standard5","43.41","42.06","42.86","989"
"13(1,E2)","Standard6","35.09","35.18","31.89","939"
"14(1,F2)","Standard6","34.71","34.47","22.07","1009"
"15(1,G2)","Standard7","18.37","20.98","21.06","1013"
"16(1,H2)","Standard7","25.81","29.84","23.29","1057"
"17(1,A3)","Control1","32.81","49.6","38.33","1211"
"18(1,B3)","Control1","28.78","30.43","41.03","963"
"19(1,C3)","Control2","33.3","35.72","23.57","924"
"20(1,D3)","Control2","24.41","30.12","26.99","988"
"21(1,E3)","Normoxia Blank 1","38.51","48.08","74.11","809"
"22(1,F3)","Normoxia Blank 1","40.76","45.24","60.15","862"
"23(1,G3)","Normoxia Blank 1","46.75","48.01","56.71","909"
"24(1,H3)","Normoxia Blank 2","33.31","43.33","50.49","812"
"25(1,A4)","Normoxia Blank 2","29.94","41.59","43.26","960"
"26(1,B4)","Normoxia Blank 2","47.01","75.67","53.51","932"
"27(1,C4)","Normoxia Blank 3","38.13","39.42","57.16","831"
"28(1,D4)","Normoxia Blank 3","26.15","46.13","52.38","677"
"29(1,E4)","Normoxia Blank 3","27.81","39.74","53.03","807"
"30(1,F4)","Normoxia DEP 1","32.65","49.87","48.67","863"
"31(1,G4)","Normoxia DEP 1","54.39","66.83","62.45","812"
"32(1,H4)","Normoxia DEP 1","33.25","41.58","45.82","849"
"33(1,A5)","Normoxia DEP 2","28.78","33.36","44.07","960"
"34(1,B5)","Normoxia DEP 2","100.64","54.15","74.74","988"
"35(1,C5)","Normoxia DEP 2","49.05","50.99","67.36","887"
"36(1,D5)","Normoxia DEP 3","35.4","52.2","56.56","850"
"37(1,E5)","Normoxia DEP 3","32.32","47.11","59.1","655"
"38(1,F5)","Normoxia DEP 3","37.71","41.36","50.86","757"
"39(1,G5)","Normoxia Ox66 1","21.96","19.89","36.07","1144"
"40(1,H5)","Normoxia Ox66 1","23.18","28.7","47.58","974"
"41(1,A6)","Normoxia Ox66 1","22.89","25.2","41.9","1256"
"42(1,B6)","Normoxia Ox66 2","22.08","25.17","38.02","1137"
"43(1,C6)","Normoxia Ox66 2","41.06","55.55","63.8","958"
"44(1,D6)","Normoxia Ox66 2","27.81","27.2","58.44","1157"
"45(1,E6)","Normoxia Ox66 3","37.48","50.14","65.06","867"
"46(1,F6)","Normoxia Ox66 3","26.9","32.78","48.19","972"
"47(1,G6)","Normoxia Ox66 3","42.91","67.56","65.91","769"
"48(1,H6)","Normoxia Mix 1","45.09","85.05","69.79","1119"
"49(1,A7)","Normoxia Mix 1","32.24","30.26","44.52","1144"
"50(1,B7)","Normoxia Mix 1","41.1","46.95","46.23","1131"
"51(1,C7)","Normoxia Mix 2","41.75","48.86","49.48","1068"
"52(1,D7)","Normoxia Mix 2","21.11","24.77","42.36","1248"
"53(1,E7)","Normoxia Mix 2","27.04","31.99","45.74","1229"
"54(1,F7)","Normoxia Mix 3","21.43","19.77","47.38","1188"
"55(1,G7)","Normoxia Mix 3","21.17","20.73","36.1","1094"
"56(1,H7)","Normoxia Mix 3","22.03","29.78","38.71","1151"
"57(1,A8)","Hypoxia Blank 1","53.66","51.82","93.57","1317"
"58(1,B8)","Hypoxia Blank 1","34.97","41.94","60.71","852"
"59(1,C8)","Hypoxia Blank 1","37.3","60.85","54.47","1050"
"60(1,D8)","Hypoxia Blank 2","30.25","37.45","49.38","844"
"61(1,E8)","Hypoxia Blank 2","32.35","50.61","55.88","807"
"62(1,F8)","Hypoxia Blank 2","27.36","60.55","47.73","704"
"63(1,G8)","Hypoxia Blank 3","37.64","43.82","39.46","581"
"64(1,H8)","Hypoxia Blank 3","30.52","43.69","63.82","701"
"65(1,A9)","Hypoxia Blank 3","45.8","54.88","73.63","1273"
"66(1,B9)","Hypoxia DEP 1","25.9","37.2","43.75","1030"
"67(1,C9)","Hypoxia DEP 1","27.11","40.03","45.6","1099"
"68(1,D9)","Hypoxia DEP 1","30.33","43.44","53.32","844"
"69(1,E9)","Hypoxia DEP 2","36.36","53.15","41.48","675"
"70(1,F9)","Hypoxia DEP 2","30.64","43.86","73.44","642"
"71(1,G9)","Hypoxia DEP 2","26.3","40.52","55.3","712"
"72(1,H9)","Hypoxia DEP 3","33.05","47.02","50.19","725"
"73(1,A10)","Hypoxia DEP 3","23.97","46.03","64.8","915"
"74(1,B10)","Hypoxia DEP 3","28.64","45.63","50.31","967"
"75(1,C10)","Hypoxia Ox66 1","26.16","24.69","38.31","1198"
"76(1,D10)","Hypoxia Ox66 1","24.2","22.11","38.89","1089"
"77(1,E10)","Hypoxia Ox66 1","24.88","24.12","39.92","1027"
"78(1,F10)","Hypoxia Ox66 2","21.06","25.28","37.14","971"
"79(1,G10)","Hypoxia Ox66 2","29.25","50.19","42.85","916"
"80(1,H10)","Hypoxia Ox66 2","23.93","28.36","34.36","1192"
