"Program","xPONENT","","MAGPIX"
"Build","4.2.1705.0"
"Date","10/16/2019","9:50 PM"

"SN","MAGPX17165724"
"Batch","Human CYK SVG"
"Version","1"
"Operator",""
"ComputerName","ENV18022701X"
"Country Code","409"
"ProtocolName","Human Cytokine Chemokine AD"
"ProtocolVersion","5"
"ProtocolDescription",""
"ProtocolDevelopingCompany","Miliilpore"
"SampleWash","Off"
"SampleVolume","100 uL"
"BatchStartTime","10/16/2019 9:52:19 PM"
"BatchStopTime","10/16/2019 11:02:33 PM"
"BatchDescription","<None>"
"ProtocolPlate","Name","Current 96-well plate","Type","96","Plates","1"
"ProtocolMicrosphere","Map","BP 50 regions","Type","MagPlex","Count","3"
"ProtocolAnalysis","Type","Quan","Mode","FitOfAllStandards"
"NormBead","None"
"ProtocolHeater","Off"

"Most Recent Calibration and Verification Results:"
"Last CAL Calibration","Passed 10/15/2019 15:47:30"
"Last VER Verification","Passed 10/15/2019 15:48:32"
"Last Fluidics Test","Passed 10/15/2019 15:49:52"
""
"CALInfo:"
"Calibrator"
"Lot","ExpirationDate","CalibrationTime","CL1Temp","CL2Temp","RP1LongTemp","RP1ShortTemp","CL1Current","CL2Current","RP1LongCurrent","RP1ShortCurrent","CL1Factor","CL2Factor","RP1LongFactor","RP1ShortFactor","Result","MachineSerialNo"
"B62703","11/17/2019","10/15/2019 3:47:30 PM","26.4","26.4","26.4","26.4","252","284","353","353","0.00702","0.00697","0.00407","0.11954","Pass","MAGPX17165724"


"AssayLotInfo:"
"KitName","LotNumber","ExpirationDate","Manufacturer"
"Human CYK and CHK","8062-13K","02/01/2021","Millipore"
"Reagent","LotName","LotNumber","ExpirationDate","Manufacturer"
"Standard1","Human CYK-CHK Std","8062-13K","02/01/2021","Millipore"
"Standard2","Human CYK-CHK Std","8062-13K","02/01/2021","Millipore"
"Standard3","Human CYK-CHK Std","8062-13K","02/01/2021","Millipore"
"Standard4","Human CYK-CHK Std","8062-13K","02/01/2021","Millipore"
"Standard5","Human CYK-CHK Std","8062-13K","02/01/2021","Millipore"
"Standard6","Human CYK-CHK Std","8062-13K","02/01/2021","Millipore"
"Control1","CYK and CHK","HCY-113","02/01/2021","Millipore"
"Control2","CYK and CHK","HCY-213","02/01/2021","Millipore"


"Samples","35","Min Events","50","Per Bead"

"Results"

"DataType:","Median"
"Location","Sample","IL-6","IL-8","TNFa","Total Events"
"70(1,F9)","Hypoxia DEP 2","280.99","33.04","1105.49","1364"
"71(1,G9)","Hypoxia DEP 2","58.04","54.7","98.6","1574"
"72(1,H9)","Hypoxia DEP 3","44.31","36.36","124.08","1350"
"73(1,A10)","Hypoxia DEP 3","43.48","28.43","501.82","1615"
"74(1,B10)","Hypoxia DEP 3","41.12","36.06","1125.39","1405"
"75(1,C10)","Hypoxia Ox66 1","48.12","42.76","62.97","1321"
"76(1,D10)","Hypoxia Ox66 1","79.67","27.6","1251.33","1030"
"77(1,E10)","Hypoxia Ox66 1","74.11","43.16","129.26","1417"
"78(1,F10)","Hypoxia Ox66 2","55.53","28.61","790.31","1319"
"79(1,G10)","Hypoxia Ox66 2","49.22","35.22","1210.99","1421"
"80(1,H10)","Hypoxia Ox66 2","44.09","27.27","107.53","1338"
"81(1,A11)","Hypoxia Ox66 3","48.06","42.48","157.48","1561"
"82(1,B11)","Hypoxia Ox66 3","66.35","37","1811.06","1414"
"83(1,C11)","Hypoxia Ox66 3","68.45","24.13","101.25","1375"
"84(1,D11)","Hypoxia Mix 1","42.35","24.47","1389.12","1325"
"85(1,E11)","Hypoxia Mix 1","52.19","68.98","63.2","1197"
"86(1,F11)","Hypoxia Mix 1","46.97","29.28","1173.89","1245"
"87(1,G11)","Hypoxia Mix 2","46.43","34.22","1015.54","1431"
"88(1,H11)","Hypoxia Mix 2","42.87","24.18","1119.06","1641"
"89(1,A12)","Hypoxia Mix 2","69.94","77.43","1053.51","1509"
"90(1,B12)","Hypoxia Mix 3","61.51","40.36","808.53","1320"
"91(1,C12)","Hypoxia Mix 3","75.98","44.44","541.71","1314"
"92(1,D12)","Hypoxia Mix 3","44.68","39.04","901.47","1537"
"93(1,E12)","DEP Interference ","146.66","759.66","69.97","1439"
"94(1,F12)","DEP Interference ","452","727.71","625.01","1408"
"95(1,G12)","Ox66 Interference","35.94","62.46","65.24","1390"
"96(1,H12)","Ox66 Interference","36.45","44.29","68.92","1647"

"DataType:","Peak"
"Location","Sample","IL-6","IL-8","TNFa","Total Events"
"1(1,A1)","Background0","16","12","17","1570"
"2(1,B1)","Background0","14","15","16","1573"
"3(1,C1)","Standard 1","14","71","16","1577"
"4(1,D1)","Standard 1","14","77","16","1416"
"5(1,E1)","Standard2","15","244","28","1614"
"6(1,F1)","Standard2","14","288","28","1377"
"7(1,G1)","Standard3","66","1476","176","1592"
"8(1,H1)","Standard3","70","1478","156","1727"
"9(1,A2)","Standard4","5449","9269","2837","1479"
"10(1,B2)","Standard4","5228","10051","3077","1489"
"11(1,C2)","Standard5","38075","27927","15129","1235"
"12(1,D2)","Standard5","29115","26713","15724","1147"
"13(1,E2)","Standard6","49514","38078","40809","1209"
"14(1,F2)","Standard6","49043","38197","39438","1211"
"17(1,A3)","Control1","2719","2728","1535","1503"
"18(1,B3)","Control1","2845","2838","1305","1276"
"19(1,C3)","Control2","14470","12308","6947","1390"
"20(1,D3)","Control2","14537","11846","6934","1435"
"21(1,E3)","Normoxia Control 1","1666","12848","25","1471"
"22(1,F3)","Normoxia Control 1","1479","12878","15","1214"
"23(1,G3)","Normoxia Control 1","1811","13872","19","1464"
"24(1,H3)","Normoxia Control 2","1482","12335","16","1541"
"25(1,A4)","Normoxia Control 2","1358","12820","22","1486"
"26(1,B4)","Normoxia Control 2","1423","12803","17","1364"
"27(1,C4)","Normoxia Control 3","1254","12307","20","1276"
"28(1,D4)","Normoxia Control 3","1253","11863","18","1119"
"29(1,E4)","Normoxia Control 3","1206","12296","18","1489"
"30(1,F4)","Normoxia DEP 1","1108","12300","17","1129"
"31(1,G4)","Normoxia DEP 1","1108","11829","18","1390"
"32(1,H4)","Normoxia DEP 1","1158","11850","18","1264"
"33(1,A5)","Normoxia DEP 2","1419","11850","17","1336"
"34(1,B5)","Normoxia DEP 2","1357","12330","18","1407"
"35(1,C5)","Normoxia DEP 2","1108","12290","19","1473"
"36(1,D5)","Normoxia DEP 3","1109","12848","16","1223"
"37(1,E5)","Normoxia DEP 3","1303","12824","17","1465"
"38(1,F5)","Normoxia DEP 3","1309","12839","28","1207"
"39(1,G5)","Normoxia Ox66 1","1812","17042","19","1355"
"40(1,H5)","Normoxia Ox66 1","1483","16408","16","1298"
"41(1,A6)","Normoxia Ox66 1","1600","16396","15","1575"
"42(1,B6)","Normoxia Ox66 2","1482","15057","20","1407"
"43(1,C6)","Normoxia Ox66 2","1546","14465","15","1413"
"44(1,D6)","Normoxia Ox66 2","1742","15767","16","1222"
"45(1,E6)","Normoxia Ox66 3","1543","15125","21","1259"
"46(1,F6)","Normoxia Ox66 3","1805","16430","17","1362"
"47(1,G6)","Normoxia Ox66 3","1359","15710","17","1579"
"48(1,H6)","Normoxia Mix 1","1474","15766","20","1347"
"49(1,A7)","Normoxia Mix 1","1312","13372","19","1367"
"50(1,B7)","Normoxia Mix 1","1414","15742","18","1204"
"51(1,C7)","Normoxia Mix 2","1109","12809","22","1363"
"52(1,D7)","Normoxia Mix 2","907","12824","16","1010"
"53(1,E7)","Normoxia Mix 2","1068","12856","20","1331"
"54(1,F7)","Normoxia Mix 3","1262","14503","19","1115"
"55(1,G7)","Normoxia Mix 3","1305","15063","16","1243"
"56(1,H7)","Normoxia Mix 3","1310","14519","21","1543"
"57(1,A8)","Hypoxia Control 1","943","10062","18","1333"
"58(1,B8)","Hypoxia Control 1","941","10058","15","1484"
"59(1,C8)","Hypoxia Control 1","1016","9239","17","1266"
"60(1,D8)","Hypoxia Control 2","941","8537","14","1238"
"61(1,E8)","Hypoxia Control 2","1023","9265","18","1195"
"62(1,F8)","Hypoxia Control 2","1106","9653","17","1238"
"63(1,G8)","Hypoxia Control 3","1028","10064","15","1459"
"64(1,H8)","Hypoxia Control 3","903","8889","18","1479"
"65(1,A9)","Hypoxia Control 3","1064","10051","16","1383"
"66(1,B9)","Hypoxia DEP 1","802","9276","18","1337"
"67(1,C9)","Hypoxia DEP 1","653","8868","19","1437"
"68(1,D9)","Hypoxia DEP 1","655","7553","17","1414"
"69(1,E9)","Hypoxia DEP 2","870","10035","17","1356"
"70(1,F9)","Hypoxia DEP 2","833","8874","20","1364"
"71(1,G9)","Hypoxia DEP 2","709","9276","16","1574"
"72(1,H9)","Hypoxia DEP 3","679","8890","16","1350"
"73(1,A10)","Hypoxia DEP 3","575","8506","17","1615"
"74(1,B10)","Hypoxia DEP 3","682","8169","16","1405"
"75(1,C10)","Hypoxia Ox66 1","836","11349","17","1321"
"76(1,D10)","Hypoxia Ox66 1","767","11848","17","1030"
"77(1,E10)","Hypoxia Ox66 1","1062","11834","18","1417"
"78(1,F10)","Hypoxia Ox66 2","942","12308","14","1319"
"79(1,G10)","Hypoxia Ox66 2","985","12312","19","1421"
"80(1,H10)","Hypoxia Ox66 2","708","12291","18","1338"
"81(1,A11)","Hypoxia Ox66 3","833","10026","17","1561"
"82(1,B11)","Hypoxia Ox66 3","942","11324","21","1414"
"83(1,C11)","Hypoxia Ox66 3","948","10023","16","1375"
"84(1,D11)","Hypoxia Mix 1","1107","10884","23","1325"
"85(1,E11)","Hypoxia Mix 1","835","10916","17","1197"
"86(1,F11)","Hypoxia Mix 1","944","12794","22","1245"
"87(1,G11)","Hypoxia Mix 2","679","10475","21","1431"
"88(1,H11)","Hypoxia Mix 2","652","9635","18","1641"
"89(1,A12)","Hypoxia Mix 2","735","9291","17","1509"
"90(1,B12)","Hypoxia Mix 3","577","7889","16","1320"
"91(1,C12)","Hypoxia Mix 3","510","8897","16","1314"
"92(1,D12)","Hypoxia Mix 3","681","9260","28","1537"
"93(1,E12)","DEP Interference ","12","28","15","1439"
"94(1,F12)","DEP Interference ","13","19","16","1408"
"95(1,G12)","Ox66 Interference","14","14","14","1390"
"96(1,H12)","Ox66 Interference","13","17","16","1647"

"DataType:","Std Dev"
"Location","Sample","IL-6","IL-8","TNFa","Total Events"
"1(1,A1)","Background0","5.71","14.86","14.76","1570"
"2(1,B1)","Background0","713.29","427.59","157.28","1573"
"3(1,C1)","Standard 1","7.42","30.21","21","1577"
"4(1,D1)","Standard 1","5.38","26.45","9.6","1416"
"5(1,E1)","Standard2","8.65","102.82","21.1","1614"
"6(1,F1)","Standard2","7.41","155.54","30.29","1377"
"7(1,G1)","Standard3","44.89","611.64","74.04","1592"
"8(1,H1)","Standard3","40.48","896.59","249.86","1727"
"9(1,A2)","Standard4","2425.31","7829.48","2510.92","1479"
"10(1,B2)","Standard4","2260.07","3861.19","1305.55","1489"
"11(1,C2)","Standard5","9154.34","5896.3","5134.01","1235"
"12(1,D2)","Standard5","10507.81","5622.89","3906.04","1147"
"13(1,E2)","Standard6","11708.15","8481.78","11142.31","1209"
"14(1,F2)","Standard6","10472.72","9834.43","9987.95","1211"
"17(1,A3)","Control1","1868.19","1719.11","2604.88","1503"
"18(1,B3)","Control1","1452.8","2316.27","600.7","1276"
"19(1,C3)","Control2","6168.84","3767.24","2715.02","1390"
"20(1,D3)","Control2","5839.51","5043.46","3461.54","1435"
"21(1,E3)","Normoxia Control 1","1208.02","5096.86","301.02","1471"
"22(1,F3)","Normoxia Control 1","937.06","3381.62","788.49","1214"
"23(1,G3)","Normoxia Control 1","943.68","5504.97","34.34","1464"
"24(1,H3)","Normoxia Control 2","917.57","4012.34","18.92","1541"
"25(1,A4)","Normoxia Control 2","3693","4100.83","24.11","1486"
"26(1,B4)","Normoxia Control 2","878.51","3273.37","17.7","1364"
"27(1,C4)","Normoxia Control 3","782.21","4985.09","389.42","1276"
"28(1,D4)","Normoxia Control 3","1547.71","3738.16","27.2","1119"
"29(1,E4)","Normoxia Control 3","629.56","3829.64","23.51","1489"
"30(1,F4)","Normoxia DEP 1","1390.36","3658.77","998.03","1129"
"31(1,G4)","Normoxia DEP 1","803.99","3693.38","48.13","1390"
"32(1,H4)","Normoxia DEP 1","735.17","3644.54","20.15","1264"
"33(1,A5)","Normoxia DEP 2","813.2","3501.6","25.13","1336"
"34(1,B5)","Normoxia DEP 2","590.81","3137.61","69.75","1407"
"35(1,C5)","Normoxia DEP 2","644.07","3811.02","34.31","1473"
"36(1,D5)","Normoxia DEP 3","576.25","4462.49","14.34","1223"
"37(1,E5)","Normoxia DEP 3","1405.15","5630.91","1432.47","1465"
"38(1,F5)","Normoxia DEP 3","934.71","7441.65","841.08","1207"
"39(1,G5)","Normoxia Ox66 1","914.04","6697.47","1199.03","1355"
"40(1,H5)","Normoxia Ox66 1","1119.85","4592.66","40.8","1298"
"41(1,A6)","Normoxia Ox66 1","1393","7092.98","34.92","1575"
"42(1,B6)","Normoxia Ox66 2","736.67","6542.29","14.04","1407"
"43(1,C6)","Normoxia Ox66 2","699","5370.26","33.87","1413"
"44(1,D6)","Normoxia Ox66 2","811.1","4716.55","39.62","1222"
"45(1,E6)","Normoxia Ox66 3","903.54","5345.66","858.37","1259"
"46(1,F6)","Normoxia Ox66 3","821.64","7338.13","63.4","1362"
"47(1,G6)","Normoxia Ox66 3","864.12","5455.18","42.8","1579"
"48(1,H6)","Normoxia Mix 1","675.89","4628.36","297.78","1347"
"49(1,A7)","Normoxia Mix 1","628.37","6115.32","27.82","1367"
"50(1,B7)","Normoxia Mix 1","719.04","4369.61","19.03","1204"
"51(1,C7)","Normoxia Mix 2","1437.56","7326.52","58.23","1363"
"52(1,D7)","Normoxia Mix 2","1119.79","3805.71","48.62","1010"
"53(1,E7)","Normoxia Mix 2","490.23","4091.07","818.62","1331"
"54(1,F7)","Normoxia Mix 3","847.39","4436.02","902.79","1115"
"55(1,G7)","Normoxia Mix 3","646.6","3993.11","31.55","1243"
"56(1,H7)","Normoxia Mix 3","682.46","4612.74","30.59","1543"
"57(1,A8)","Hypoxia Control 1","857.4","2771.91","1045.12","1333"
"58(1,B8)","Hypoxia Control 1","760.63","3723.94","34.93","1484"
"59(1,C8)","Hypoxia Control 1","558.43","4584.56","423.38","1266"
"60(1,D8)","Hypoxia Control 2","790.9","6497.35","15.87","1238"
"61(1,E8)","Hypoxia Control 2","1642.95","2359.12","16.88","1195"
"62(1,F8)","Hypoxia Control 2","520.96","2924.21","557.59","1238"
"63(1,G8)","Hypoxia Control 3","633.51","4787.86","579.87","1459"
"64(1,H8)","Hypoxia Control 3","504.53","5359.83","548.79","1479"
"65(1,A9)","Hypoxia Control 3","514.85","2735.04","21.24","1383"
"66(1,B9)","Hypoxia DEP 1","684.83","2225.34","22.1","1337"
"67(1,C9)","Hypoxia DEP 1","315.37","3880.66","790.3","1437"
"68(1,D9)","Hypoxia DEP 1","455.54","6792.79","15.78","1414"
"69(1,E9)","Hypoxia DEP 2","3143.48","3654.81","22.41","1356"
"70(1,F9)","Hypoxia DEP 2","3347.91","3222.84","553.73","1364"
"71(1,G9)","Hypoxia DEP 2","521.45","5475.63","25.53","1574"
"72(1,H9)","Hypoxia DEP 3","332.95","3382.8","28.94","1350"
"73(1,A10)","Hypoxia DEP 3","326.31","2602.37","150.79","1615"
"74(1,B10)","Hypoxia DEP 3","319.69","3300.82","516.82","1405"
"75(1,C10)","Hypoxia Ox66 1","486.71","5041.62","14.43","1321"
"76(1,D10)","Hypoxia Ox66 1","998.37","3304.84","795.63","1030"
"77(1,E10)","Hypoxia Ox66 1","900.94","5476.55","32.95","1417"
"78(1,F10)","Hypoxia Ox66 2","564.25","3413.56","301.03","1319"
"79(1,G10)","Hypoxia Ox66 2","538.71","4360.58","656.73","1421"
"80(1,H10)","Hypoxia Ox66 2","457.75","3272.03","27.31","1338"
"81(1,A11)","Hypoxia Ox66 3","437.46","4648.66","40.06","1561"
"82(1,B11)","Hypoxia Ox66 3","648.15","3745.76","1770.36","1414"
"83(1,C11)","Hypoxia Ox66 3","611.07","2510.54","23.47","1375"
"84(1,D11)","Hypoxia Mix 1","469.6","2857.91","949.97","1325"
"85(1,E11)","Hypoxia Mix 1","530.11","8414.02","14.52","1197"
"86(1,F11)","Hypoxia Mix 1","493.46","3391.28","1069.69","1245"
"87(1,G11)","Hypoxia Mix 2","337.17","3553.64","680.21","1431"
"88(1,H11)","Hypoxia Mix 2","299.37","2381.9","539.13","1641"
"89(1,A12)","Hypoxia Mix 2","542.58","8158.58","551.47","1509"
"90(1,B12)","Hypoxia Mix 3","383.91","3541.86","574.77","1320"
"91(1,C12)","Hypoxia Mix 3","455.42","3772.91","152.3","1314"
"92(1,D12)","Hypoxia Mix 3","277.68","3481.03","383.31","1537"
"93(1,E12)","DEP Interference ","26.91","385.67","14.23","1439"
"94(1,F12)","DEP Interference ","92.83","210.31","180.87","1408"
"95(1,G12)","Ox66 Interference","5.38","11.05","12.02","1390"
"96(1,H12)","Ox66 Interference","5.74","8.66","13.54","1647"

"DataType:","Trimmed Count"
"Location","Sample","IL-6","IL-8","TNFa","Total Events"
"1(1,A1)","Background0","371","468","573","1570"
"2(1,B1)","Background0","408","437","570","1573"
"3(1,C1)","Standard 1","396","459","564","1577"
"4(1,D1)","Standard 1","354","439","481","1416"
"5(1,E1)","Standard2","422","426","604","1614"
"6(1,F1)","Standard2","339","390","510","1377"
"7(1,G1)","Standard3","376","514","542","1592"
"8(1,H1)","Standard3","468","504","583","1727"
"9(1,A2)","Standard4","396","433","502","1479"
"10(1,B2)","Standard4","393","403","545","1489"
"11(1,C2)","Standard5","313","355","443","1235"
"12(1,D2)","Standard5","277","336","420","1147"
"13(1,E2)","Standard6","311","345","433","1209"
"14(1,F2)","Standard6","328","313","450","1211"
"17(1,A3)","Control1","382","431","540","1503"
"18(1,B3)","Control1","299","370","477","1276"
"19(1,C3)","Control2","369","406","477","1390"
"20(1,D3)","Control2","339","415","537","1435"
"21(1,E3)","Normoxia Control 1","387","428","508","1471"
"22(1,F3)","Normoxia Control 1","306","343","443","1214"
"23(1,G3)","Normoxia Control 1","347","448","523","1464"
"24(1,H3)","Normoxia Control 2","388","459","540","1541"
"25(1,A4)","Normoxia Control 2","377","441","518","1486"
"26(1,B4)","Normoxia Control 2","335","401","492","1364"
"27(1,C4)","Normoxia Control 3","307","393","448","1276"
"28(1,D4)","Normoxia Control 3","298","311","398","1119"
"29(1,E4)","Normoxia Control 3","379","408","552","1489"
"30(1,F4)","Normoxia DEP 1","297","333","387","1129"
"31(1,G4)","Normoxia DEP 1","333","409","510","1390"
"32(1,H4)","Normoxia DEP 1","311","378","449","1264"
"33(1,A5)","Normoxia DEP 2","323","418","461","1336"
"34(1,B5)","Normoxia DEP 2","355","440","472","1407"
"35(1,C5)","Normoxia DEP 2","351","469","507","1473"
"36(1,D5)","Normoxia DEP 3","298","357","444","1223"
"37(1,E5)","Normoxia DEP 3","381","452","486","1465"
"38(1,F5)","Normoxia DEP 3","306","358","423","1207"
"39(1,G5)","Normoxia Ox66 1","343","419","459","1355"
"40(1,H5)","Normoxia Ox66 1","340","385","443","1298"
"41(1,A6)","Normoxia Ox66 1","412","431","574","1575"
"42(1,B6)","Normoxia Ox66 2","342","414","511","1407"
"43(1,C6)","Normoxia Ox66 2","386","419","466","1413"
"44(1,D6)","Normoxia Ox66 2","322","366","412","1222"
"45(1,E6)","Normoxia Ox66 3","314","381","440","1259"
"46(1,F6)","Normoxia Ox66 3","357","443","424","1362"
"47(1,G6)","Normoxia Ox66 3","390","443","586","1579"
"48(1,H6)","Normoxia Mix 1","346","400","467","1347"
"49(1,A7)","Normoxia Mix 1","335","395","499","1367"
"50(1,B7)","Normoxia Mix 1","288","352","442","1204"
"51(1,C7)","Normoxia Mix 2","333","439","455","1363"
"52(1,D7)","Normoxia Mix 2","246","306","356","1010"
"53(1,E7)","Normoxia Mix 2","351","423","423","1331"
"54(1,F7)","Normoxia Mix 3","284","341","378","1115"
"55(1,G7)","Normoxia Mix 3","308","371","440","1243"
"56(1,H7)","Normoxia Mix 3","372","443","572","1543"
"57(1,A8)","Hypoxia Control 1","349","381","471","1333"
"58(1,B8)","Hypoxia Control 1","377","441","516","1484"
"59(1,C8)","Hypoxia Control 1","332","369","437","1266"
"60(1,D8)","Hypoxia Control 2","319","351","444","1238"
"61(1,E8)","Hypoxia Control 2","278","369","430","1195"
"62(1,F8)","Hypoxia Control 2","318","377","419","1238"
"63(1,G8)","Hypoxia Control 3","370","411","530","1459"
"64(1,H8)","Hypoxia Control 3","353","476","502","1479"
"65(1,A9)","Hypoxia Control 3","363","393","489","1383"
"66(1,B9)","Hypoxia DEP 1","345","393","465","1337"
"67(1,C9)","Hypoxia DEP 1","355","441","497","1437"
"68(1,D9)","Hypoxia DEP 1","345","414","513","1414"
"69(1,E9)","Hypoxia DEP 2","348","411","461","1356"
"70(1,F9)","Hypoxia DEP 2","353","399","476","1364"
"71(1,G9)","Hypoxia DEP 2","394","462","560","1574"
"72(1,H9)","Hypoxia DEP 3","369","398","447","1350"
"73(1,A10)","Hypoxia DEP 3","441","483","531","1615"
"74(1,B10)","Hypoxia DEP 3","354","439","472","1405"
"75(1,C10)","Hypoxia Ox66 1","332","378","477","1321"
"76(1,D10)","Hypoxia Ox66 1","260","311","355","1030"
"77(1,E10)","Hypoxia Ox66 1","364","437","476","1417"
"78(1,F10)","Hypoxia Ox66 2","346","389","452","1319"
"79(1,G10)","Hypoxia Ox66 2","372","419","488","1421"
"80(1,H10)","Hypoxia Ox66 2","325","382","497","1338"
"81(1,A11)","Hypoxia Ox66 3","390","469","546","1561"
"82(1,B11)","Hypoxia Ox66 3","343","417","512","1414"
"83(1,C11)","Hypoxia Ox66 3","364","406","467","1375"
"84(1,D11)","Hypoxia Mix 1","322","400","471","1325"
"85(1,E11)","Hypoxia Mix 1","303","362","412","1197"
"86(1,F11)","Hypoxia Mix 1","333","343","445","1245"
"87(1,G11)","Hypoxia Mix 2","381","414","494","1431"
"88(1,H11)","Hypoxia Mix 2","408","469","600","1641"
"89(1,A12)","Hypoxia Mix 2","406","446","505","1509"
"90(1,B12)","Hypoxia Mix 3","341","401","446","1320"
"91(1,C12)","Hypoxia Mix 3","308","412","462","1314"
"92(1,D12)","Hypoxia Mix 3","383","455","547","1537"
"93(1,E12)","DEP Interference ","354","398","543","1439"
"94(1,F12)","DEP Interference ","336","405","527","1408"
"95(1,G12)","Ox66 Interference","355","383","512","1390"
"96(1,H12)","Ox66 Interference","368","514","601","1647"

"DataType:","Trimmed Mean"
"Location","Sample","IL-6","IL-8","TNFa","Total Events"
"1(1,A1)","Background0","15.75","16.49","18.18","1570"
"2(1,B1)","Background0","15.79","15.83","17.68","1573"
"3(1,C1)","Standard 1","15.74","79.74","19.94","1577"
"4(1,D1)","Standard 1","15.05","71.65","19.86","1416"
"5(1,E1)","Standard2","17.54","281.5","26.73","1614"
"6(1,F1)","Standard2","17.89","324.11","29.18","1377"
"7(1,G1)","Standard3","77.47","1459.84","182.72","1592"
"8(1,H1)","Standard3","74.86","1481.18","178.75","1727"
"9(1,A2)","Standard4","5488.34","9536.64","3494.84","1479"
"10(1,B2)","Standard4","5018.33","9363.19","3297.49","1489"
"11(1,C2)","Standard5","27973.4","27717.29","15567.43","1235"
"12(1,D2)","Standard5","29207.64","26866.82","15498.81","1147"
"13(1,E2)","Standard6","47971.88","35566.46","38610.18","1209"
"14(1,F2)","Standard6","46947.92","33957.65","36264.28","1211"
"17(1,A3)","Control1","2924.52","2890.19","1385.41","1503"
"18(1,B3)","Control1","2878.79","3059.61","1318.8","1276"
"19(1,C3)","Control2","13775.72","11492.22","6868.11","1390"
"20(1,D3)","Control2","14260.43","11369.46","6466.92","1435"
"21(1,E3)","Normoxia Control 1","1627.24","12755.37","25.21","1471"
"22(1,F3)","Normoxia Control 1","1692.04","13589.55","20.14","1214"
"23(1,G3)","Normoxia Control 1","1795.84","13197.26","24.01","1464"
"24(1,H3)","Normoxia Control 2","1531.4","12721.19","22.46","1541"
"25(1,A4)","Normoxia Control 2","1718.92","13133.1","23.44","1486"
"26(1,B4)","Normoxia Control 2","1789.7","12811.62","22.92","1364"
"27(1,C4)","Normoxia Control 3","1296.85","11947.98","21.98","1276"
"28(1,D4)","Normoxia Control 3","1346","11709.84","20.91","1119"
"29(1,E4)","Normoxia Control 3","1425.4","12187.48","23.71","1489"
"30(1,F4)","Normoxia DEP 1","1322.33","12337.87","22.95","1129"
"31(1,G4)","Normoxia DEP 1","1331.8","12742","24.95","1390"
"32(1,H4)","Normoxia DEP 1","1250.78","12309.2","22.97","1264"
"33(1,A5)","Normoxia DEP 2","1305.69","12536.11","23.76","1336"
"34(1,B5)","Normoxia DEP 2","1199.29","11827.49","21.81","1407"
"35(1,C5)","Normoxia DEP 2","1349.96","12551.65","21.58","1473"
"36(1,D5)","Normoxia DEP 3","1246.87","12940","24.31","1223"
"37(1,E5)","Normoxia DEP 3","1270.43","12939.98","23.25","1465"
"38(1,F5)","Normoxia DEP 3","1313.44","12884.27","25.75","1207"
"39(1,G5)","Normoxia Ox66 1","1692.25","15841.06","23.06","1355"
"40(1,H5)","Normoxia Ox66 1","1865.94","16059.28","22.17","1298"
"41(1,A6)","Normoxia Ox66 1","1708.3","15859.51","22.5","1575"
"42(1,B6)","Normoxia Ox66 2","1658","14842.24","22.91","1407"
"43(1,C6)","Normoxia Ox66 2","1472.32","13175.77","20.96","1413"
"44(1,D6)","Normoxia Ox66 2","1652.71","14434.64","20.57","1222"
"45(1,E6)","Normoxia Ox66 3","1826.42","15883.12","24.33","1259"
"46(1,F6)","Normoxia Ox66 3","1902","16388.26","22.28","1362"
"47(1,G6)","Normoxia Ox66 3","1655.72","15977.65","22.84","1579"
"48(1,H6)","Normoxia Mix 1","1431.82","15459.69","24.67","1347"
"49(1,A7)","Normoxia Mix 1","1393.21","14970.19","23.32","1367"
"50(1,B7)","Normoxia Mix 1","1452.83","15708.6","24.82","1204"
"51(1,C7)","Normoxia Mix 2","1119.92","13336.69","22.77","1363"
"52(1,D7)","Normoxia Mix 2","1309.08","13602.35","22.84","1010"
"53(1,E7)","Normoxia Mix 2","1157.11","13192.64","20.88","1331"
"54(1,F7)","Normoxia Mix 3","1362.64","14723.18","25.17","1115"
"55(1,G7)","Normoxia Mix 3","1420.91","15409.31","22.86","1243"
"56(1,H7)","Normoxia Mix 3","1377.12","14947.33","23.78","1543"
"57(1,A8)","Hypoxia Control 1","1172.79","10283.12","21.92","1333"
"58(1,B8)","Hypoxia Control 1","1097.96","9445.02","18.82","1484"
"59(1,C8)","Hypoxia Control 1","1000.18","9298.94","18.62","1266"
"60(1,D8)","Hypoxia Control 2","1038.03","9302.98","18.33","1238"
"61(1,E8)","Hypoxia Control 2","1069.91","9607.34","21.57","1195"
"62(1,F8)","Hypoxia Control 2","1120.35","9789.36","19.98","1238"
"63(1,G8)","Hypoxia Control 3","1032.96","9641.93","21.28","1459"
"64(1,H8)","Hypoxia Control 3","981.5","9080.04","21.64","1479"
"65(1,A9)","Hypoxia Control 3","1035.37","9454.56","21.66","1383"
"66(1,B9)","Hypoxia DEP 1","857.03","9633.28","21.99","1337"
"67(1,C9)","Hypoxia DEP 1","797.88","8963.01","21.1","1437"
"68(1,D9)","Hypoxia DEP 1","794.22","8855.37","22.82","1414"
"69(1,E9)","Hypoxia DEP 2","930.91","9908.74","21.98","1356"
"70(1,F9)","Hypoxia DEP 2","927.72","9618.77","23.71","1364"
"71(1,G9)","Hypoxia DEP 2","847.14","9577.25","23.01","1574"
"72(1,H9)","Hypoxia DEP 3","727.24","9091.99","19.62","1350"
"73(1,A10)","Hypoxia DEP 3","720.82","8948.35","21.25","1615"
